Collab,Article,laureate
raymond goldsmith,"the national balance sheet of the united states of america, 1900–1949",john hicks
d robertson,the inter-relations of shifts in demand,john hicks
oscar lange,the inter-relations of shifts in demand,john hicks
kamran bilir,the impact of information technology on the diffusion of new pharmaceuticals,kenneth arrow
alan sorensen,the impact of information technology on the diffusion of new pharmaceuticals,kenneth arrow
l bilir,the impact of information technology on the diffusion of new pharmaceuticals,kenneth arrow
richard s j tol,how should benefits and costs be discounted in an intergenerational context?,kenneth arrow
maureen l cropper,how should benefits and costs be discounted in an intergenerational context?,kenneth arrow
christian gollier,how should benefits and costs be discounted in an intergenerational context?,kenneth arrow
ben groom,how should benefits and costs be discounted in an intergenerational context?,kenneth arrow
geoffrey m heal,how should benefits and costs be discounted in an intergenerational context?,kenneth arrow
richard g newell,how should benefits and costs be discounted in an intergenerational context?,kenneth arrow
william nordhaus,how should benefits and costs be discounted in an intergenerational context?,kenneth arrow
robert s pindyck,how should benefits and costs be discounted in an intergenerational context?,kenneth arrow
william a pizer,how should benefits and costs be discounted in an intergenerational context?,kenneth arrow
paul ruud,how should benefits and costs be discounted in an intergenerational context?,kenneth arrow
p dasgupta,sustainability and the measurement of wealth,kenneth arrow
lawrence goulder,sustainability and the measurement of wealth,kenneth arrow
kevin mumford,sustainability and the measurement of wealth,kenneth arrow
kirsten oleson,sustainability and the measurement of wealth,kenneth arrow
p dasgupta,"conspicuous consumption, inconspicuous leisure",kenneth arrow
parthas dasgupta,"conspicuous consumption, inconspicuous leisure",kenneth arrow
ron borzekowski,limited network connections and the distribution of wages,kenneth arrow
p dasgupta,evaluating projects and assessing sustainable development in imperfect economies,kenneth arrow
karl-göran mäler,evaluating projects and assessing sustainable development in imperfect economies,kenneth arrow
richard revesz,letter—the social cost of carbon: a global imperative,kenneth arrow
alan schwartz,letter—the social cost of carbon: a global imperative,kenneth arrow
peter howard,letter—the social cost of carbon: a global imperative,kenneth arrow
michael livermore,letter—the social cost of carbon: a global imperative,kenneth arrow
michael oppenheimer,letter—the social cost of carbon: a global imperative,kenneth arrow
thomas reiner,letter—the social cost of carbon: a global imperative,kenneth arrow
marcel priebsch,"bliss, catastrophe, and rational policy",kenneth arrow
richard revesz,global warming: improve economic models of climate change,kenneth arrow
peter howard,global warming: improve economic models of climate change,kenneth arrow
lawrence goulder,global warming: improve economic models of climate change,kenneth arrow
robert kopp,global warming: improve economic models of climate change,kenneth arrow
michael livermore,global warming: improve economic models of climate change,kenneth arrow
michael oppenheimer,global warming: improve economic models of climate change,kenneth arrow
thomas reiner,global warming: improve economic models of climate change,kenneth arrow
maureen l cropper,editor's choice should governments use a declining discount rate in project analysis?,kenneth arrow
christian gollier,editor's choice should governments use a declining discount rate in project analysis?,kenneth arrow
ben groom,editor's choice should governments use a declining discount rate in project analysis?,kenneth arrow
geoffrey m heal,editor's choice should governments use a declining discount rate in project analysis?,kenneth arrow
richard g newell,editor's choice should governments use a declining discount rate in project analysis?,kenneth arrow
william nordhaus,editor's choice should governments use a declining discount rate in project analysis?,kenneth arrow
robert s pindyck,editor's choice should governments use a declining discount rate in project analysis?,kenneth arrow
william a pizer,editor's choice should governments use a declining discount rate in project analysis?,kenneth arrow
paul r portney,editor's choice should governments use a declining discount rate in project analysis?,kenneth arrow
thomas ste,editor's choice should governments use a declining discount rate in project analysis?,kenneth arrow
stephen l parente,general resilience to cope with extreme events,kenneth arrow
scott barrett,general resilience to cope with extreme events,kenneth arrow
reinette biggs,general resilience to cope with extreme events,kenneth arrow
william jack,general resilience to cope with extreme events,kenneth arrow
anne-sophie crépin,general resilience to cope with extreme events,kenneth arrow
gustav engström,general resilience to cope with extreme events,kenneth arrow
carl folke,general resilience to cope with extreme events,kenneth arrow
terry hughes,general resilience to cope with extreme events,kenneth arrow
nils kautsky,general resilience to cope with extreme events,kenneth arrow
chuan-zhong li,general resilience to cope with extreme events,kenneth arrow
geof geof,general resilience to cope with extreme events,kenneth arrow
b bernheim,100 years of the american economic review : the top 20 articles,kenneth arrow
martin s feldstein,100 years of the american economic review : the top 20 articles,kenneth arrow
daniel l mcfadden,100 years of the american economic review : the top 20 articles,kenneth arrow
james poterba,100 years of the american economic review : the top 20 articles,kenneth arrow
robert m solow,100 years of the american economic review : the top 20 articles,kenneth arrow
cohen linda,a statement on the appropriate role for research and development in climate policy,kenneth arrow
david a,a statement on the appropriate role for research and development in climate policy,kenneth arrow
hahn w,a statement on the appropriate role for research and development in climate policy,kenneth arrow
kolstad d,a statement on the appropriate role for research and development in climate policy,kenneth arrow
lane lee,a statement on the appropriate role for research and development in climate policy,kenneth arrow
montgomery david,a statement on the appropriate role for research and development in climate policy,kenneth arrow
nelson r,a statement on the appropriate role for research and development in climate policy,kenneth arrow
noll g,a statement on the appropriate role for research and development in climate policy,kenneth arrow
smith e,a statement on the appropriate role for research and development in climate policy,kenneth arrow
p dasgupta,are we consuming too much? response,kenneth arrow
lawrence goulder,are we consuming too much? response,kenneth arrow
p dasgupta,are we consuming too much?,kenneth arrow
lawrence goulder,are we consuming too much?,kenneth arrow
gretchen daily,are we consuming too much?,kenneth arrow
paul ehrlich,are we consuming too much?,kenneth arrow
geoffrey m heal,are we consuming too much?,kenneth arrow
simon levin,are we consuming too much?,kenneth arrow
karl-göran mäler,are we consuming too much?,kenneth arrow
stefan schneider,are we consuming too much?,kenneth arrow
david starrett,are we consuming too much?,kenneth arrow
brian walker,are we consuming too much?,kenneth arrow
p dasgupta,the genuine savings criterion and the value of population,kenneth arrow
karl-göran mäler,the genuine savings criterion and the value of population,kenneth arrow
charalambos aliprantis,foreword to the symposium in honor of mordecai kurz,kenneth arrow
peter a diamond,foreword to the symposium in honor of mordecai kurz,kenneth arrow
felix kubler,foreword to the symposium in honor of mordecai kurz,kenneth arrow
ho-mou wu,foreword to the symposium in honor of mordecai kurz,kenneth arrow
nicholas ryan,foreword to the symposium in honor of mordecai kurz,kenneth arrow
timothy j kehoe,distinguished fellow: herbert scarf's contributions to economics,kenneth arrow
arnold harberger,economic integration and the future of the nation‐state,kenneth arrow
charles holt,economic integration and the future of the nation‐state,kenneth arrow
michael intriligator,economic integration and the future of the nation‐state,kenneth arrow
gordon tullock,economic integration and the future of the nation‐state,kenneth arrow
anthony fisher,"environmental preservation, uncertainty, and irreversibility",kenneth arrow
david levhari,a production function for the repairman problem,kenneth arrow
eytan sheshinski,a production function for the repairman problem,kenneth arrow
robert e litan,uncertainty and the evaluation of public investment decisions,kenneth arrow
r sherman,reviews,kenneth arrow
leonid hurwicz,constraint qualifications in maximization problems,kenneth arrow
hirofumi uzawa,constraint qualifications in maximization problems,kenneth arrow
william capron,dynamic shortages and price rises: the engineer-scientist case,kenneth arrow
leonid hurwicz,gradient methods for constrained maxima,kenneth arrow
howard sherman,the veblen-commons award,gunnar myrdal
d macgregor,private spending money for productive investment / spending and saving public works from rates,friedrich hayek
a pigou,private spending money for productive investment / spending and saving public works from rates,friedrich hayek
j keynes,private spending money for productive investment / spending and saving public works from rates,friedrich hayek
walter layton,private spending money for productive investment / spending and saving public works from rates,friedrich hayek
arthur baker,private spending money for productive investment / spending and saving public works from rates,friedrich hayek
j stamp,private spending money for productive investment / spending and saving public works from rates,friedrich hayek
t gregory,private spending money for productive investment / spending and saving public works from rates,friedrich hayek
arnold plant,private spending money for productive investment / spending and saving public works from rates,friedrich hayek
lionel robbins,private spending money for productive investment / spending and saving public works from rates,friedrich hayek
graves leslie,the trend of economic thinking,friedrich hayek
wp egle,recent publication literatuur over de grondstoffen-valuta,friedrich hayek
ft bauer,recent publication literatuur over de grondstoffen-valuta,friedrich hayek
fw paish,recent publication literatuur over de grondstoffen-valuta,friedrich hayek
lütge f,einzelbesprechungen,friedrich hayek
gerhardt j,einzelbesprechungen,friedrich hayek
schuhwerk fr,einzelbesprechungen,friedrich hayek
walter walter,einzelbesprechungen,friedrich hayek
mahr werner,einzelbesprechungen,friedrich hayek
berkenkopf p,einzelbesprechungen,friedrich hayek
schultze-jena l,einzelbesprechungen,friedrich hayek
albrecht g,einzelbesprechungen,friedrich hayek
stuermer j,einzelbesprechungen,friedrich hayek
kruschwitz kruschwitz,einzelbesprechungen,friedrich hayek
müller johannes,einzelbesprechungen,friedrich hayek
andreae w,einzelbesprechungen,friedrich hayek
fick hara,einzelbesprechungen,friedrich hayek
below v,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
dick ernst,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
brinkmann c,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
aubin gustav,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
baasch e,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
vogel hugo,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
neumark fritz,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
geck ad,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
schmid emil,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
elster alexander,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
wegner willy,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
carell erich,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
haefke fritz,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
lütge friedrich,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
flügge eva,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
schröder schröder,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
winkelmann kaete,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
lorenz paul,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
röpke wilhelm,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
albrecht gerhard,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
surànyi-unger theo,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
jahn georg,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
mühlenfels v,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
stolzmann stolzmann,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
jessen jens,uebersicht über die neuesten publikationen deutschlands und des auslandes,friedrich hayek
hirofumi uzawa,constancy and constant differences of price elasticities of demand,tjalling koopmans
gerard debreu,additively decomposed quasiconvex functions,tjalling koopmans
terje hansen,on the definition and computation of a capital stock invariant under optimization,tjalling koopmans
richard r nelson,maximizing stationary utility in a constant technology,tjalling koopmans
peter a diamond,stationary utility and time preference,tjalling koopmans
richard e williamson,stationary utility and time preference,tjalling koopmans
martin beckmann,assignment problems and the location of economic activities,tjalling koopmans
thomas sowell,reflections on peter bauer's contributions to development economics,milton friedman
robert mundell,"duello monetario sui pregi e i difetti dei tassi di cambio fissi, del gold standard e di una valuta mondiale",milton friedman
james buchanan,the most significant contributions to economics during the twentieth century: lists of the nobel laureates,milton friedman
gerard debreu,the most significant contributions to economics during the twentieth century: lists of the nobel laureates,milton friedman
lawrence klein,the most significant contributions to economics during the twentieth century: lists of the nobel laureates,milton friedman
robert m solow,the most significant contributions to economics during the twentieth century: lists of the nobel laureates,milton friedman
gerald o'driscoll,tax reform,milton friedman
thomas saving,tax reform,milton friedman
herbert grubel,tax reform,milton friedman
arnold harberger,tax reform,milton friedman
w hoskins,tax reform,milton friedman
michael darden,recent behavior of the velocity of money,milton friedman
william gale,recent behavior of the velocity of money,milton friedman
david lee,recent behavior of the velocity of money,milton friedman
michael bazdarich,recent behavior of the velocity of money,milton friedman
alan schwartz,has government any role in money?,milton friedman
h heller,economic outlook,milton friedman
andrew goett,economic outlook,milton friedman
william niskanen,economic outlook,milton friedman
allen sinai,economic outlook,milton friedman
f modigliani,the monetarist controversy: discussion,milton friedman
gary becker,the friedman-becker illusion: reply,milton friedman
l savage,the expected-utility hypothesis and the measurability of utility,milton friedman
a pigou,marginal utility of money and elasticities of demand,milton friedman
n georgescu-roegen,marginal utility of money and elasticities of demand,milton friedman
hans brems,on the formulation of monetary theory∗,bertil ohlin
william yohe,on the formulation of monetary theory∗,bertil ohlin
ellen meade,the phillips curve and us monetary policy: what the fomc transcripts tell us,james meade
daniel thornton,the phillips curve and us monetary policy: what the fomc transcripts tell us,james meade
j meade,"wage rates, the cost of living, and the balance of payments",james meade
e russell,"wage rates, the cost of living, and the balance of payments",james meade
richard r nelson,the precision of national income estimates,james meade
d champernowne,the precision of national income estimates,james meade
p andrews,summary of replies to questions on effects of interest rates,james meade
george b dantzig,decision making and problem solving,herbert a simon
robin hogarth,decision making and problem solving,herbert a simon
charles r plott,decision making and problem solving,herbert a simon
howard raiffa,decision making and problem solving,herbert a simon
thomas c schelling,decision making and problem solving,herbert a simon
kenneth a shepsle,decision making and problem solving,herbert a simon
richard berk,decision making and problem solving,herbert a simon
amos tversky,decision making and problem solving,herbert a simon
sidney winter,decision making and problem solving,herbert a simon
ferdinand levy,a note on the cobb-douglas function,herbert a simon
allen newell,letter to the editor---reply: heuristic problem solving,herbert a simon
richard carter,observation of a business decision,herbert a simon
donald trow,observation of a business decision,herbert a simon
harold guetzkow,the impact of certain communication nets upon organization and performance in task-oriented groups,herbert a simon
charles holt,a linear decision rule for production and employment scheduling,herbert a simon
f modigliani,a linear decision rule for production and employment scheduling,herbert a simon
clarence ridley,the criterion of efficiency,herbert a simon
george masnick,review symposium,theodore schultz
jean bourgeois-pichat,review symposium,theodore schultz
o wells,the fragmentation of the bae,theodore schultz
paul appleby,the fragmentation of the bae,theodore schultz
l taylor,the fragmentation of the bae,theodore schultz
howard tolley,the fragmentation of the bae,theodore schultz
raymond penn,the fragmentation of the bae,theodore schultz
o brownlee,two trials to determine expectation models applicable to agriculture,theodore schultz
h case,the committee on land tenure in the corn belt,theodore schultz
g wehrwein,the committee on land tenure in the corn belt,theodore schultz
joseph ackerman,the committee on land tenure in the corn belt,theodore schultz
joseph davis,aaa as a force in recovery,theodore schultz
mordecai ezekiel,aaa as a force in recovery,theodore schultz
f meyer,the effects of an overseas slump on the british economy,arthur lewis
kanta marwah,lost productivity and defense burden of the southern cone of latin america,lawrence klein
t palanivel,economic reforms and growth prospects in india,lawrence klein
m gultekin,some issues associated with business debt,lawrence klein
q mohiuddin,some issues associated with business debt,lawrence klein
marwah kanta,lost productivity and defense burden of the southern cone of latin america: a page from history,lawrence klein
wendy mak,initial steps in high-frequency modeling of china,lawrence klein
vijay duggal,the sensitivity of the general price level to changes in the price of crude oil,lawrence klein
cynthia saltzman,the sensitivity of the general price level to changes in the price of crude oil,lawrence klein
suleyman ozmucur,consumer behavior under the influence of terrorism within the united states,lawrence klein
milton friedman,the most significant contributions to economics during the twentieth century: lists of the nobel laureates,lawrence klein
scheetz thomas,growth and productivity costs of military expenditure in bolivia,lawrence klein
alfredo coutiño,the mexican financial crisis of december 1994 and lessons to be learned,lawrence klein
paul a samuelson,remin1nscences of dudley dillard,lawrence klein
miroslaw gronicki,conversion: the trade-off between military and civilian production in warsaw pact countries,lawrence klein
arthur doud,simplification of large scale macroeconometric models,lawrence klein
e sojo,simplification of large scale macroeconometric models,lawrence klein
virginia long,"capacity utilization: concept, measurement, and recent estimates",lawrence klein
karl brunner,"commentary on \\""the state of the monetarist debate\\""",lawrence klein
r kosobud,some econometrics of growth: great ratios of economics,lawrence klein
george katona,psychological data in business cycle research,lawrence klein
db rubin,a constant-utility index of the cost of living,lawrence klein
sergio parrinello,supply constraints on employment and output: nairu versus natural rate,james tobin
p labini,supply constraints on employment and output: nairu versus natural rate,james tobin
william brainard,on the internationalization of portfolios,james tobin
michael haliassos,the macroeconomics of government finance,james tobin
walter dolde,mandatory retirement saving and capital formation,james tobin
david k backus,a model of us financial and nonfinancial economic behavior,james tobin
gary smith,a model of us financial and nonfinancial economic behavior,james tobin
jorge macedo,the short-run macroeconomics of floating exchange rates: an exposition,james tobin
willem buiter,debt neutrality: a brief review of doctrine and evidence,james tobin
william nordhaus,is growth obsolete?,james tobin
craig swan,money and permanent income: some empirical tests,james tobin
robert m solow,a model of fixed capital without substitution,james tobin
cc weisazacker,a model of fixed capital without substitution,james tobin
menahem yaari,a model of fixed capital without substitution,james tobin
harold guthrie,inter-generation transfers of wealth and the theory of saving,james tobin
harold watts,consumer expenditures and the capital account,james tobin
brian snowdon,"james tobin, 1918â€“2002",james tobin
howard vane,"james tobin, 1918â€“2002",james tobin
jacques fontanel,a hard look at the costs of peace,james tobin
michael darden,a hard look at the costs of peace,james tobin
john adams,reflections on dudley dillard’s career,james tobin
vernon briggs,reflections on dudley dillard’s career,james tobin
andrew chen,reflections on dudley dillard’s career,james tobin
jim rossman,reflections on dudley dillard’s career,james tobin
lester thurow,the carter economics: a symposium,james tobin
robert wilson,the carter economics: a symposium,james tobin
bernard anderson,the carter economics: a symposium,james tobin
a heebner,the carter economics: a symposium,james tobin
melville ulmer,the carter economics: a symposium,james tobin
robert holahan,the carter economics: a symposium,james tobin
hyman minsky,the carter economics: a symposium,james tobin
martin baily,macroeconomic effects of selective public employment and wage subsidies,james tobin
herbert a simon,how political must the council of economic advisers be?,james tobin
henry wallich,how political must the council of economic advisers be?,james tobin
arthur doud,how political must the council of economic advisers be?,james tobin
eileen shanahan,how political must the council of economic advisers be?,james tobin
r solow,neoclassical growth with fixed factor proportions,james tobin
c weizsäcker,neoclassical growth with fixed factor proportions,james tobin
m e yaari,neoclassical growth with fixed factor proportions,james tobin
claire freidland,the pattern of citation practices in economics,george stigler
gary becker,"law enforcement, malfeasance, and compensation of enforcers",george stigler
simón teitel,economies of scale and size of plant: the evidence and the implications for the developing countries,george stigler
charles kindleberger,economies of scale and size of plant: the evidence and the implications for the developing countries,george stigler
tjalling c koopmans,additively decomposed quasiconvex functions,gérard debreu
j brown,output and investment for exponential growth in consumption,richard stone
milton gilbert,preface,richard stone
larspeter hansen,inter‐country comparisons of the national accounts and the work of the national accounts research unit of the organization for european economic co‐operation,richard stone
j meade,the precision of national income estimates,richard stone
w stone,the marginal propensity to consume and the multiplier: a statistical investigation,richard stone
enrico perotti,security versus bank finance: the importance of a proper enforcement of legal rules,franco modigliani
tullio jappelli,the age-saving profile and the life-cycle hypothesis,franco modigliani
jean-paul fitoussi,an economists' manifesto on unemployment in the european union,franco modigliani
b moro,an economists' manifesto on unemployment in the european union,franco modigliani
dennis snower,an economists' manifesto on unemployment in the european union,franco modigliani
r solow,an economists' manifesto on unemployment in the european union,franco modigliani
alfred steinherr,an economists' manifesto on unemployment in the european union,franco modigliani
p labini,an economists' manifesto on unemployment in the european union,franco modigliani
jean-paul fitoussi,an economist’s manifesto on unemployment in the european union,franco modigliani
beniamino moro,an economist’s manifesto on unemployment in the european union,franco modigliani
dennis snower,an economist’s manifesto on unemployment in the european union,franco modigliani
robert m solow,an economist’s manifesto on unemployment in the european union,franco modigliani
alfred steinherr,an economist’s manifesto on unemployment in the european union,franco modigliani
p labini,an economist’s manifesto on unemployment in the european union,franco modigliani
arlie sterling,determinants of private saving with special reference to the role of social security—cross-country tests,franco modigliani
stanley fischer,towards an understanding of the real effects and costs of inflation,franco modigliani
shi cao,the chinese saving puzzle and the life-cycle hypothesis,franco modigliani
arun muralidhar,editorial — saving social security,franco modigliani
robert shiller,reply to steindl and ugarte,franco modigliani
martin s feldstein,black monday in retrospect and prospect: a roundtable,franco modigliani
allen sinai,black monday in retrospect and prospect: a roundtable,franco modigliani
robert m solow,black monday in retrospect and prospect: a roundtable,franco modigliani
lucas papademos,optimal demand policies against stagflation,franco modigliani
william gale,comments and discussion [efficient-markets theory: implications for monetary policy],franco modigliani
gardner ackley,implications for policy,franco modigliani
alan greenspan,implications for policy,franco modigliani
charles steindel,is a tax rebate an effective tool for stabilization policy?,franco modigliani
tommaso padoa-schioppa,la politica economica in una economia con salari indicizzati al 100% piu,franco modigliani
hossein askari,a note on capital movements and the relation of spread in spot and forward rates to variations in the short‐term interest differential,franco modigliani
milton friedman,the monetarist controversy: discussion,franco modigliani
gerald pogue,alternative investment performance fee arrangements and implications for sec regulatory policy,franco modigliani
ezio tarantelli,a generalization of the phillips curve for a developing country,franco modigliani
charles holt,"the transmission of demand fluctuations through a distribution and production system, the tv-set industry",franco modigliani
john c heaton,"the transmission of demand fluctuations through a distribution and production system, the tv-set industry",franco modigliani
richard sutch,debt management and the term structure of interest rates: an empirical analysis of recent experience,franco modigliani
paul a samuelson,the pasinetti paradox in neoclassical and more general models,franco modigliani
paul a samuelson,marginal productivity and the macroeconomic theories of distribution: reply to pasinetti and robinson,franco modigliani
merton miller,dividend policy and market valuation: a reply,franco modigliani
h weingartner,forecasting uses of anticipatory data: reply,franco modigliani
john muth,derivation of a linear decision rule for production and employment,franco modigliani
herbert a simon,a linear decision rule for production and employment scheduling,franco modigliani
emile grunberg,the predictability of social events,franco modigliani
sarah wordsworth,using genomic information to guide ibrutinib treatment decisions in chronic lymphocytic leukaemia: a cost-effectiveness analysis,james m buchanan
ruth clifford,using genomic information to guide ibrutinib treatment decisions in chronic lymphocytic leukaemia: a cost-effectiveness analysis,james m buchanan
pauline robbe,using genomic information to guide ibrutinib treatment decisions in chronic lymphocytic leukaemia: a cost-effectiveness analysis,james m buchanan
jenny taylor,using genomic information to guide ibrutinib treatment decisions in chronic lymphocytic leukaemia: a cost-effectiveness analysis,james m buchanan
anna schuh,using genomic information to guide ibrutinib treatment decisions in chronic lymphocytic leukaemia: a cost-effectiveness analysis,james m buchanan
samantha knight,using genomic information to guide ibrutinib treatment decisions in chronic lymphocytic leukaemia: a cost-effectiveness analysis,james m buchanan
y yoon,"the costs of collectivization, per se",james m buchanan
y yoon,choosing for others: a neglected element in the theory of collective action,james m buchanan
y yoon,public choice and the extent of the market,james m buchanan
y yoon,all voting is strategic,james m buchanan
y yoon,"generalized increasing returns, euler's theorem, and competitive equilibrium",james m buchanan
y yoon,rationality as prudence: another reason for rules,james m buchanan
y yoon,constitutional implications of alternative models of increasing returns,james m buchanan
lee r,on a fiscal constitution for the european union,james m buchanan
dwight lee,"cartels, coalitions, and constitutional politics",james m buchanan
george selgin,reviews,james m buchanan
frank forman,reviews,james m buchanan
richard langlois,reviews,james m buchanan
hardy bouillon,reviews,james m buchanan
jonathan riley,reviews,james m buchanan
heinrich ursprung,reviews,james m buchanan
alan hamlin,reviews,james m buchanan
viktor vanberg,interests and theories in constitutional choice,james m buchanan
viktor vanberg,a theory of leadership and deference in constitutional construction,james m buchanan
viktor vanberg,the politicization of market failure,james m buchanan
jennifer roback,the incidence and effects of public debt in the absence of fiscal illusion,james m buchanan
dwight lee,vote buying in a stylized setting,james m buchanan
robert tollison,a theory of truth in autobiography,james m buchanan
geoffrey brennan,on monopoly price: reply,james m buchanan
dwight lee,on monopoly price: reply,james m buchanan
geoffrey brennan,on monopoly price,james m buchanan
dwight lee,on monopoly price,james m buchanan
brennan geoffrey,der verteilende staat: ansätze zu einer theorie der umverteilung,james m buchanan
james bennett,reviews,james m buchanan
carl dahlman,reviews,james m buchanan
william niskanen,reviews,james m buchanan
